Strategy,Score
Adaptive TFT (Target 98%),7857
Adaptive TFT (Target 100%),6693
Adaptive TFT (Target 94%),6402
Adaptive TFT (Target 92%),6400
Adaptive TFT (Target 96%),6111
Omega-Detector (Thresh 2),4947
Omega-Detector (Thresh 3),4074
Adaptive TFT (Target 90%),3781
Adaptive TFT (Target 88%),3779
Omega-Detector (Thresh 4),3492
Adaptive TFT (Target 86%),3488
Adaptive TFT (Target 82%),2906
Omega-Detector (Thresh 5),2619
Adaptive TFT (Target 84%),2616
Adaptive TFT (Target 78%),2323
Adaptive TFT (Target 80%),2033
Omega-Detector (Thresh 12),1455
Omega-Detector (Thresh 7),1455
Omega-Detector (Thresh 6),1455
Omega-Detector (Thresh 11),1455
Adaptive TFT (Target 74%),1451
Omega-Detector (Thresh 14),1164
Omega-Detector (Thresh 16),1164
Omega-Detector (Thresh 13),1164
Omega-Detector (Thresh 17),1164
Omega-Detector (Thresh 8),1164
Omega-Detector (Thresh 15),1164
Omega-Detector (Thresh 10),1164
Omega-Detector (Thresh 9),1164
Adaptive TFT (Target 76%),1163
Adaptive TFT (Target 72%),1161
Omega-Detector (Thresh 18),873
Omega-Detector (Thresh 19),873
Gradual (x39),584
Gradual (x40),584
Gradual (x35),584
Gradual (x46),584
Gradual (x50),584
Gradual (x38),584
Gradual (x36),584
Gradual (x30),584
Gradual (x33),584
Gradual (x42),584
Gradual (x49),584
Gradual (x31),584
Gradual (x32),584
Gradual (x37),584
Gradual (x34),584
Gradual (x44),583
Gradual (x47),583
Gradual (x41),583
Gradual (x48),583
Gradual (x45),583
Gradual (x43),583
Omega-Detector (Thresh 22),582
Omega-Detector (Thresh 20),582
Omega-Detector (Thresh 21),582
Omega-Detector (Thresh 24),582
Omega-Detector (Thresh 23),582
Omega-Detector (Thresh 25),582
Adaptive TFT (Target 70%),581
Forgiving TFT (20.0%),292
Gradual (x21),292
"Reactive (p=1.0, q=0.3)",292
Forgiving TFT (15.0%),292
Forgiving TFT (37.0%),292
