Strategy,Score
Alternator,47503
8-Tats,46601
5-Tats,46537
4-Tats,46450
Forgiving Tit For Tat (33.3%),46431
Forgiving Tit For Tat (30.0%),46378
Forgiving Tit For Tat (50.0%),46343
Forgiving Tit For Tat (13.3%),46227
Forgiving Tit For Tat (40.0%),46222
3-Tats,46217
7-Tats,46144
Tit For Tat With Forgiveness,46127
Forgiving Tit For Tat (20.0%),46072
Forgiving Tit For Tat (46.7%),46052
6-Tats,46025
Tit For Two Tats,46010
Forgiving Tit For Tat (36.7%),45978
2-Tats,45976
Forgiving Tit For Tat (16.7%),45913
Gradual,45892
Forgiving Tit For Tat (43.3%),45836
Forgiving Tit For Tat (10.0%),45808
Forgiving Tit For Tat (23.3%),45697
Statistical,45695
Forgiving Tit For Tat (26.7%),45574
Forgiving Tit For Tat (6.7%),45511
Forgiving Tit For Tat (3.3%),45189
Omega Tit For Tat,45071
Tit For Tat,44905
Always Cooperate,44164
Detective,44051
Suspicious Tit For Tat,44039
"Pavlov (Win-Stay, Lose-Shift)",43964
Joss,42231
Soft Grudger,37675
Grudger,35435
Handshake,32461
Always Defect,31412
